Customer ID,Customer Name,City,PostCode,PhoneNumber,FirstName,LastName,Email,Country
RH-19495,Rick Hansen,Hamburg,52471,-338384142,Rick,Hansen,Rick_Hansen@example.com,Germany
JR-16210,Justin Ritter,Hamburg,82204,-791685437,Justin,Ritter,Justin_Ritter@example.com,Germany
CR-12730,Craig Reiter,Hamburg,89475,-784806739,Craig,Reiter,Craig_Reiter@example.com,Germany
KM-16375,Katherine Murray,Hamburg,75908,-709318324,Katherine,Murray,Katherine_Murray@example.com,Germany
RH-9495,Rick Hansen,Hamburg,48073,-538585456,Rick,Hansen,Rick_Hansen@example.com,Germany
JM-15655,Jim Mitchum,Hamburg,58920,-653135700,Jim,Mitchum,Jim_Mitchum@example.com,Germany
TS-21340,Toby Swindell,Hamburg,57519,-844749213,Toby,Swindell,Toby_Swindell@example.com,Germany
MB-18085,Mick Brown,Hamburg,62393,-382143956,Mick,Brown,Mick_Brown@example.com,Germany
JW-15220,Jane Waco,Hamburg,11508,-860188516,Jane,Waco,Jane_Waco@example.com,Germany
JH-15985,Joseph Holt,Hamburg,80279,-974705842,Joseph,Holt,Joseph_Holt@example.com,Germany
GM-14695,Greg Maxwell,Hamburg,79897,-280032095,Greg,Maxwell,Greg_Maxwell@example.com,Germany
AJ-10780,Anthony Jacobs,Hamburg,92912,-112136151,Anthony,Jacobs,Anthony_Jacobs@example.com,Germany
MM-7260,Magdelene Morse,Hamburg,55038,-492292631,Magdelene,Morse,Magdelene_Morse@example.com,Germany
VF-21715,Vicky Freymann,Hamburg,69365,-278449637,Vicky,Freymann,Vicky_Freymann@example.com,Germany
PF-19120,Peter Fuller,Hamburg,25782,-278063654,Peter,Fuller,Peter_Fuller@example.com,Germany
BP-11185,Ben Peterman,Hamburg,47491,-959442507,Ben,Peterman,Ben_Peterman@example.com,Germany
TB-21175,Thomas Boland,Hamburg,12902,-247121682,Thomas,Boland,Thomas_Boland@example.com,Germany
PJ-18835,Patrick Jones,Hamburg,62642,-869594701,Patrick,Jones,Patrick_Jones@example.com,Germany
JS-15685,Jim Sink,Hamburg,28375,-633299165,Jim,Sink,Jim_Sink@example.com,Germany
RH-9555,Ritsa Hightower,Hamburg,77673,-862478657,Ritsa,Hightower,Ritsa_Hightower@example.com,Germany
AB-600,Ann Blume,Hamburg,23725,-789516246,Ann,Blume,Ann_Blume@example.com,Germany
